,annotations
145,"(array([[2]], dtype=uint8), array([[5]], dtype=uint8), array([[298]], dtype=uint16), array([[162]], dtype=uint8), array([[42]], dtype=uint8), array(['00146.jpg'], dtype='<U9'))"
146,"(array([[8]], dtype=uint8), array([[12]], dtype=uint8), array([[770]], dtype=uint16), array([[309]], dtype=uint16), array([[76]], dtype=uint8), array(['00147.jpg'], dtype='<U9'))"
147,"(array([[24]], dtype=uint8), array([[78]], dtype=uint8), array([[608]], dtype=uint16), array([[379]], dtype=uint16), array([[187]], dtype=uint8), array(['00148.jpg'], dtype='<U9'))"
148,"(array([[34]], dtype=uint8), array([[1]], dtype=uint8), array([[242]], dtype=uint8), array([[179]], dtype=uint8), array([[86]], dtype=uint8), array(['00149.jpg'], dtype='<U9'))"
149,"(array([[11]], dtype=uint8), array([[208]], dtype=uint8), array([[596]], dtype=uint16), array([[386]], dtype=uint16), array([[8]], dtype=uint8), array(['00150.jpg'], dtype='<U9'))"
150,"(array([[8]], dtype=uint8), array([[37]], dtype=uint8), array([[294]], dtype=uint16), array([[150]], dtype=uint8), array([[5]], dtype=uint8), array(['00151.jpg'], dtype='<U9'))"
151,"(array([[23]], dtype=uint8), array([[66]], dtype=uint8), array([[499]], dtype=uint16), array([[311]], dtype=uint16), array([[47]], dtype=uint8), array(['00152.jpg'], dtype='<U9'))"
152,"(array([[6]], dtype=uint8), array([[138]], dtype=uint8), array([[627]], dtype=uint16), array([[361]], dtype=uint16), array([[30]], dtype=uint8), array(['00153.jpg'], dtype='<U9'))"
153,"(array([[17]], dtype=uint8), array([[105]], dtype=uint8), array([[385]], dtype=uint16), array([[243]], dtype=uint8), array([[18]], dtype=uint8), array(['00154.jpg'], dtype='<U9'))"
154,"(array([[76]], dtype=uint8), array([[4]], dtype=uint8), array([[1585]], dtype=uint16), array([[1120]], dtype=uint16), array([[149]], dtype=uint8), array(['00155.jpg'], dtype='<U9'))"
155,"(array([[22]], dtype=uint8), array([[21]], dtype=uint8), array([[211]], dtype=uint8), array([[139]], dtype=uint8), array([[174]], dtype=uint8), array(['00156.jpg'], dtype='<U9'))"
156,"(array([[32]], dtype=uint8), array([[130]], dtype=uint8), array([[973]], dtype=uint16), array([[661]], dtype=uint16), array([[138]], dtype=uint8), array(['00157.jpg'], dtype='<U9'))"
157,"(array([[75]], dtype=uint8), array([[236]], dtype=uint8), array([[1196]], dtype=uint16), array([[846]], dtype=uint16), array([[179]], dtype=uint8), array(['00158.jpg'], dtype='<U9'))"
158,"(array([[37]], dtype=uint8), array([[139]], dtype=uint8), array([[988]], dtype=uint16), array([[694]], dtype=uint16), array([[24]], dtype=uint8), array(['00159.jpg'], dtype='<U9'))"
159,"(array([[114]], dtype=uint8), array([[46]], dtype=uint8), array([[546]], dtype=uint16), array([[287]], dtype=uint16), array([[42]], dtype=uint8), array(['00160.jpg'], dtype='<U9'))"
160,"(array([[12]], dtype=uint8), array([[83]], dtype=uint8), array([[629]], dtype=uint16), array([[354]], dtype=uint16), array([[73]], dtype=uint8), array(['00161.jpg'], dtype='<U9'))"
161,"(array([[38]], dtype=uint8), array([[66]], dtype=uint8), array([[548]], dtype=uint16), array([[385]], dtype=uint16), array([[176]], dtype=uint8), array(['00162.jpg'], dtype='<U9'))"
162,"(array([[46]], dtype=uint8), array([[84]], dtype=uint8), array([[661]], dtype=uint16), array([[428]], dtype=uint16), array([[1]], dtype=uint8), array(['00163.jpg'], dtype='<U9'))"
163,"(array([[13]], dtype=uint8), array([[29]], dtype=uint8), array([[239]], dtype=uint8), array([[174]], dtype=uint8), array([[37]], dtype=uint8), array(['00164.jpg'], dtype='<U9'))"
164,"(array([[27]], dtype=uint8), array([[65]], dtype=uint8), array([[490]], dtype=uint16), array([[220]], dtype=uint8), array([[36]], dtype=uint8), array(['00165.jpg'], dtype='<U9'))"
165,"(array([[4]], dtype=uint8), array([[69]], dtype=uint8), array([[402]], dtype=uint16), array([[245]], dtype=uint8), array([[108]], dtype=uint8), array(['00166.jpg'], dtype='<U9'))"
166,"(array([[19]], dtype=uint8), array([[27]], dtype=uint8), array([[429]], dtype=uint16), array([[258]], dtype=uint16), array([[41]], dtype=uint8), array(['00167.jpg'], dtype='<U9'))"
167,"(array([[110]], dtype=uint8), array([[96]], dtype=uint8), array([[565]], dtype=uint16), array([[389]], dtype=uint16), array([[40]], dtype=uint8), array(['00168.jpg'], dtype='<U9'))"
168,"(array([[2]], dtype=uint8), array([[22]], dtype=uint8), array([[140]], dtype=uint8), array([[81]], dtype=uint8), array([[119]], dtype=uint8), array(['00169.jpg'], dtype='<U9'))"
169,"(array([[48]], dtype=uint8), array([[71]], dtype=uint8), array([[615]], dtype=uint16), array([[453]], dtype=uint16), array([[119]], dtype=uint8), array(['00170.jpg'], dtype='<U9'))"
170,"(array([[41]], dtype=uint8), array([[42]], dtype=uint8), array([[262]], dtype=uint16), array([[170]], dtype=uint8), array([[19]], dtype=uint8), array(['00171.jpg'], dtype='<U9'))"
171,"(array([[6]], dtype=uint8), array([[108]], dtype=uint8), array([[493]], dtype=uint16), array([[267]], dtype=uint16), array([[163]], dtype=uint8), array(['00172.jpg'], dtype='<U9'))"
172,"(array([[26]], dtype=uint8), array([[61]], dtype=uint8), array([[508]], dtype=uint16), array([[342]], dtype=uint16), array([[120]], dtype=uint8), array(['00173.jpg'], dtype='<U9'))"
173,"(array([[13]], dtype=uint8), array([[29]], dtype=uint8), array([[249]], dtype=uint8), array([[159]], dtype=uint8), array([[54]], dtype=uint8), array(['00174.jpg'], dtype='<U9'))"
174,"(array([[69]], dtype=uint8), array([[120]], dtype=uint8), array([[739]], dtype=uint16), array([[502]], dtype=uint16), array([[116]], dtype=uint8), array(['00175.jpg'], dtype='<U9'))"
175,"(array([[45]], dtype=uint8), array([[85]], dtype=uint8), array([[1005]], dtype=uint16), array([[558]], dtype=uint16), array([[66]], dtype=uint8), array(['00176.jpg'], dtype='<U9'))"
176,"(array([[98]], dtype=uint8), array([[22]], dtype=uint8), array([[650]], dtype=uint16), array([[302]], dtype=uint16), array([[50]], dtype=uint8), array(['00177.jpg'], dtype='<U9'))"
177,"(array([[5]], dtype=uint8), array([[28]], dtype=uint8), array([[285]], dtype=uint16), array([[148]], dtype=uint8), array([[122]], dtype=uint8), array(['00178.jpg'], dtype='<U9'))"
178,"(array([[42]], dtype=uint8), array([[113]], dtype=uint8), array([[601]], dtype=uint16), array([[439]], dtype=uint16), array([[155]], dtype=uint8), array(['00179.jpg'], dtype='<U9'))"
179,"(array([[3]], dtype=uint8), array([[40]], dtype=uint8), array([[297]], dtype=uint16), array([[157]], dtype=uint8), array([[142]], dtype=uint8), array(['00180.jpg'], dtype='<U9'))"
180,"(array([[84]], dtype=uint8), array([[256]], dtype=uint16), array([[913]], dtype=uint16), array([[752]], dtype=uint16), array([[68]], dtype=uint8), array(['00181.jpg'], dtype='<U9'))"
181,"(array([[43]], dtype=uint8), array([[226]], dtype=uint8), array([[1001]], dtype=uint16), array([[630]], dtype=uint16), array([[170]], dtype=uint8), array(['00182.jpg'], dtype='<U9'))"
182,"(array([[2]], dtype=uint8), array([[9]], dtype=uint8), array([[196]], dtype=uint8), array([[125]], dtype=uint8), array([[161]], dtype=uint8), array(['00183.jpg'], dtype='<U9'))"
183,"(array([[34]], dtype=uint8), array([[51]], dtype=uint8), array([[604]], dtype=uint16), array([[344]], dtype=uint16), array([[161]], dtype=uint8), array(['00184.jpg'], dtype='<U9'))"
184,"(array([[24]], dtype=uint8), array([[35]], dtype=uint8), array([[620]], dtype=uint16), array([[438]], dtype=uint16), array([[133]], dtype=uint8), array(['00185.jpg'], dtype='<U9'))"
185,"(array([[6]], dtype=uint8), array([[72]], dtype=uint8), array([[255]], dtype=uint8), array([[178]], dtype=uint8), array([[125]], dtype=uint8), array(['00186.jpg'], dtype='<U9'))"
186,"(array([[4]], dtype=uint8), array([[408]], dtype=uint16), array([[1600]], dtype=uint16), array([[934]], dtype=uint16), array([[160]], dtype=uint8), array(['00187.jpg'], dtype='<U9'))"
187,"(array([[25]], dtype=uint8), array([[162]], dtype=uint8), array([[1241]], dtype=uint16), array([[764]], dtype=uint16), array([[93]], dtype=uint8), array(['00188.jpg'], dtype='<U9'))"
188,"(array([[18]], dtype=uint8), array([[15]], dtype=uint8), array([[583]], dtype=uint16), array([[421]], dtype=uint16), array([[183]], dtype=uint8), array(['00189.jpg'], dtype='<U9'))"
189,"(array([[198]], dtype=uint8), array([[416]], dtype=uint16), array([[1271]], dtype=uint16), array([[935]], dtype=uint16), array([[45]], dtype=uint8), array(['00190.jpg'], dtype='<U9'))"
190,"(array([[129]], dtype=uint8), array([[75]], dtype=uint8), array([[654]], dtype=uint16), array([[422]], dtype=uint16), array([[143]], dtype=uint8), array(['00191.jpg'], dtype='<U9'))"
191,"(array([[37]], dtype=uint8), array([[24]], dtype=uint8), array([[259]], dtype=uint16), array([[212]], dtype=uint8), array([[189]], dtype=uint8), array(['00192.jpg'], dtype='<U9'))"
192,"(array([[82]], dtype=uint8), array([[107]], dtype=uint8), array([[990]], dtype=uint16), array([[723]], dtype=uint16), array([[48]], dtype=uint8), array(['00193.jpg'], dtype='<U9'))"
193,"(array([[187]], dtype=uint8), array([[327]], dtype=uint16), array([[1211]], dtype=uint16), array([[769]], dtype=uint16), array([[176]], dtype=uint8), array(['00194.jpg'], dtype='<U9'))"
194,"(array([[150]], dtype=uint8), array([[339]], dtype=uint16), array([[1313]], dtype=uint16), array([[771]], dtype=uint16), array([[77]], dtype=uint8), array(['00195.jpg'], dtype='<U9'))"
195,"(array([[26]], dtype=uint8), array([[46]], dtype=uint8), array([[266]], dtype=uint16), array([[213]], dtype=uint8), array([[190]], dtype=uint8), array(['00196.jpg'], dtype='<U9'))"
196,"(array([[47]], dtype=uint8), array([[102]], dtype=uint8), array([[492]], dtype=uint16), array([[371]], dtype=uint16), array([[110]], dtype=uint8), array(['00197.jpg'], dtype='<U9'))"
197,"(array([[91]], dtype=uint8), array([[121]], dtype=uint8), array([[574]], dtype=uint16), array([[357]], dtype=uint16), array([[6]], dtype=uint8), array(['00198.jpg'], dtype='<U9'))"
198,"(array([[151]], dtype=uint8), array([[298]], dtype=uint16), array([[1285]], dtype=uint16), array([[835]], dtype=uint16), array([[191]], dtype=uint8), array(['00199.jpg'], dtype='<U9'))"
199,"(array([[30]], dtype=uint8), array([[55]], dtype=uint8), array([[301]], dtype=uint16), array([[187]], dtype=uint8), array([[16]], dtype=uint8), array(['00200.jpg'], dtype='<U9'))"
200,"(array([[21]], dtype=uint8), array([[1]], dtype=uint8), array([[386]], dtype=uint16), array([[200]], dtype=uint8), array([[12]], dtype=uint8), array(['00201.jpg'], dtype='<U9'))"
201,"(array([[233]], dtype=uint8), array([[217]], dtype=uint8), array([[1228]], dtype=uint16), array([[807]], dtype=uint16), array([[90]], dtype=uint8), array(['00202.jpg'], dtype='<U9'))"
202,"(array([[30]], dtype=uint8), array([[167]], dtype=uint8), array([[945]], dtype=uint16), array([[545]], dtype=uint16), array([[188]], dtype=uint8), array(['00203.jpg'], dtype='<U9'))"
203,"(array([[11]], dtype=uint8), array([[61]], dtype=uint8), array([[284]], dtype=uint16), array([[151]], dtype=uint8), array([[128]], dtype=uint8), array(['00204.jpg'], dtype='<U9'))"
204,"(array([[29]], dtype=uint8), array([[70]], dtype=uint8), array([[612]], dtype=uint16), array([[356]], dtype=uint16), array([[23]], dtype=uint8), array(['00205.jpg'], dtype='<U9'))"
205,"(array([[117]], dtype=uint8), array([[222]], dtype=uint8), array([[558]], dtype=uint16), array([[434]], dtype=uint16), array([[11]], dtype=uint8), array(['00206.jpg'], dtype='<U9'))"
206,"(array([[31]], dtype=uint8), array([[119]], dtype=uint8), array([[438]], dtype=uint16), array([[258]], dtype=uint16), array([[93]], dtype=uint8), array(['00207.jpg'], dtype='<U9'))"
207,"(array([[26]], dtype=uint8), array([[151]], dtype=uint8), array([[360]], dtype=uint16), array([[256]], dtype=uint16), array([[8]], dtype=uint8), array(['00208.jpg'], dtype='<U9'))"
208,"(array([[58]], dtype=uint8), array([[136]], dtype=uint8), array([[973]], dtype=uint16), array([[636]], dtype=uint16), array([[63]], dtype=uint8), array(['00209.jpg'], dtype='<U9'))"
209,"(array([[8]], dtype=uint8), array([[80]], dtype=uint8), array([[639]], dtype=uint16), array([[366]], dtype=uint16), array([[173]], dtype=uint8), array(['00210.jpg'], dtype='<U9'))"
210,"(array([[11]], dtype=uint8), array([[47]], dtype=uint8), array([[598]], dtype=uint16), array([[365]], dtype=uint16), array([[176]], dtype=uint8), array(['00211.jpg'], dtype='<U9'))"
211,"(array([[8]], dtype=uint8), array([[20]], dtype=uint8), array([[254]], dtype=uint8), array([[155]], dtype=uint8), array([[72]], dtype=uint8), array(['00212.jpg'], dtype='<U9'))"
212,"(array([[37]], dtype=uint8), array([[62]], dtype=uint8), array([[261]], dtype=uint16), array([[191]], dtype=uint8), array([[195]], dtype=uint8), array(['00213.jpg'], dtype='<U9'))"
213,"(array([[70]], dtype=uint8), array([[78]], dtype=uint8), array([[915]], dtype=uint16), array([[640]], dtype=uint16), array([[114]], dtype=uint8), array(['00214.jpg'], dtype='<U9'))"
214,"(array([[38]], dtype=uint8), array([[50]], dtype=uint8), array([[221]], dtype=uint8), array([[138]], dtype=uint8), array([[72]], dtype=uint8), array(['00215.jpg'], dtype='<U9'))"
215,"(array([[21]], dtype=uint8), array([[45]], dtype=uint8), array([[133]], dtype=uint8), array([[88]], dtype=uint8), array([[119]], dtype=uint8), array(['00216.jpg'], dtype='<U9'))"
216,"(array([[45]], dtype=uint8), array([[39]], dtype=uint8), array([[594]], dtype=uint16), array([[444]], dtype=uint16), array([[18]], dtype=uint8), array(['00217.jpg'], dtype='<U9'))"
217,"(array([[39]], dtype=uint8), array([[94]], dtype=uint8), array([[337]], dtype=uint16), array([[245]], dtype=uint8), array([[77]], dtype=uint8), array(['00218.jpg'], dtype='<U9'))"
218,"(array([[89]], dtype=uint8), array([[1]], dtype=uint8), array([[597]], dtype=uint16), array([[316]], dtype=uint16), array([[18]], dtype=uint8), array(['00219.jpg'], dtype='<U9'))"
219,"(array([[16]], dtype=uint8), array([[103]], dtype=uint8), array([[462]], dtype=uint16), array([[347]], dtype=uint16), array([[107]], dtype=uint8), array(['00220.jpg'], dtype='<U9'))"
220,"(array([[29]], dtype=uint8), array([[21]], dtype=uint8), array([[477]], dtype=uint16), array([[299]], dtype=uint16), array([[10]], dtype=uint8), array(['00221.jpg'], dtype='<U9'))"
221,"(array([[89]], dtype=uint8), array([[58]], dtype=uint8), array([[545]], dtype=uint16), array([[338]], dtype=uint16), array([[196]], dtype=uint8), array(['00222.jpg'], dtype='<U9'))"
222,"(array([[42]], dtype=uint8), array([[115]], dtype=uint8), array([[299]], dtype=uint16), array([[288]], dtype=uint16), array([[99]], dtype=uint8), array(['00223.jpg'], dtype='<U9'))"
223,"(array([[19]], dtype=uint8), array([[10]], dtype=uint8), array([[177]], dtype=uint8), array([[134]], dtype=uint8), array([[88]], dtype=uint8), array(['00224.jpg'], dtype='<U9'))"
224,"(array([[20]], dtype=uint8), array([[50]], dtype=uint8), array([[463]], dtype=uint16), array([[313]], dtype=uint16), array([[121]], dtype=uint8), array(['00225.jpg'], dtype='<U9'))"
225,"(array([[46]], dtype=uint8), array([[15]], dtype=uint8), array([[202]], dtype=uint8), array([[156]], dtype=uint8), array([[111]], dtype=uint8), array(['00226.jpg'], dtype='<U9'))"
226,"(array([[36]], dtype=uint8), array([[63]], dtype=uint8), array([[613]], dtype=uint16), array([[397]], dtype=uint16), array([[61]], dtype=uint8), array(['00227.jpg'], dtype='<U9'))"
227,"(array([[237]], dtype=uint8), array([[156]], dtype=uint8), array([[896]], dtype=uint16), array([[365]], dtype=uint16), array([[141]], dtype=uint8), array(['00228.jpg'], dtype='<U9'))"
228,"(array([[5]], dtype=uint8), array([[46]], dtype=uint8), array([[255]], dtype=uint8), array([[138]], dtype=uint8), array([[136]], dtype=uint8), array(['00229.jpg'], dtype='<U9'))"
229,"(array([[223]], dtype=uint8), array([[542]], dtype=uint16), array([[3692]], dtype=uint16), array([[2478]], dtype=uint16), array([[183]], dtype=uint8), array(['00230.jpg'], dtype='<U9'))"
230,"(array([[73]], dtype=uint8), array([[109]], dtype=uint8), array([[606]], dtype=uint16), array([[374]], dtype=uint16), array([[106]], dtype=uint8), array(['00231.jpg'], dtype='<U9'))"
231,"(array([[15]], dtype=uint8), array([[110]], dtype=uint8), array([[544]], dtype=uint16), array([[381]], dtype=uint16), array([[84]], dtype=uint8), array(['00232.jpg'], dtype='<U9'))"
232,"(array([[276]], dtype=uint16), array([[124]], dtype=uint8), array([[1495]], dtype=uint16), array([[951]], dtype=uint16), array([[194]], dtype=uint8), array(['00233.jpg'], dtype='<U9'))"
233,"(array([[99]], dtype=uint8), array([[364]], dtype=uint16), array([[1211]], dtype=uint16), array([[954]], dtype=uint16), array([[132]], dtype=uint8), array(['00234.jpg'], dtype='<U9'))"
234,"(array([[59]], dtype=uint8), array([[63]], dtype=uint8), array([[549]], dtype=uint16), array([[404]], dtype=uint16), array([[111]], dtype=uint8), array(['00235.jpg'], dtype='<U9'))"
235,"(array([[19]], dtype=uint8), array([[138]], dtype=uint8), array([[571]], dtype=uint16), array([[424]], dtype=uint16), array([[7]], dtype=uint8), array(['00236.jpg'], dtype='<U9'))"
236,"(array([[11]], dtype=uint8), array([[10]], dtype=uint8), array([[396]], dtype=uint16), array([[265]], dtype=uint16), array([[65]], dtype=uint8), array(['00237.jpg'], dtype='<U9'))"
237,"(array([[163]], dtype=uint8), array([[91]], dtype=uint8), array([[527]], dtype=uint16), array([[346]], dtype=uint16), array([[26]], dtype=uint8), array(['00238.jpg'], dtype='<U9'))"
238,"(array([[4]], dtype=uint8), array([[19]], dtype=uint8), array([[255]], dtype=uint8), array([[172]], dtype=uint8), array([[16]], dtype=uint8), array(['00239.jpg'], dtype='<U9'))"
239,"(array([[45]], dtype=uint8), array([[60]], dtype=uint8), array([[251]], dtype=uint8), array([[171]], dtype=uint8), array([[138]], dtype=uint8), array(['00240.jpg'], dtype='<U9'))"
240,"(array([[32]], dtype=uint8), array([[59]], dtype=uint8), array([[1011]], dtype=uint16), array([[709]], dtype=uint16), array([[170]], dtype=uint8), array(['00241.jpg'], dtype='<U9'))"
241,"(array([[10]], dtype=uint8), array([[53]], dtype=uint8), array([[273]], dtype=uint16), array([[167]], dtype=uint8), array([[102]], dtype=uint8), array(['00242.jpg'], dtype='<U9'))"
